incident_id,occurred_on,category,business_unit,severity,status,loss_eur,owner,description
SYN-1001,11.08.2026, third party ,Electroshield Samara,Low,Resolved,€ 0.00,Control team A,External feed unavailable
SYN-1002,2026-09-10,Process,Electroshield Samara,Low,Open,0.00,Control team B,Duplicate processing detected
SYN-1003,2026-08-20,Third party,Electroshield Samara,Medium,In progress,3200.00,Control team B,External feed unavailable
SYN-1004,2026-08-09,Process,Electroshield Samara,High,In progress,18600.00,,Reconciliation mismatch
SYN-1005,2026-09-18,Process,Samara BKK,High,Resolved,1200.00,Control team A,Manual handover exception
SYN-1006,2026-08-26,Technology,Electroshield Samara,Medium,Resolved,750.00,Control team B,Access provisioning exception
SYN-1007,2026-08-17,Technology,Electroshield Samara,Critical,Resolved,480.00,,Service availability interruption
SYN-1008,2026-09-14,Process,Zhigulevskoye Pivo,Medium,Open,1200.00,Control team A,Duplicate processing detected
SYN-1009,2026-08-27,Third party,Zhigulevskoye Pivo,Low,Resolved,3200.00,Control team B,External feed unavailable
SYN-1010,2026-08-23,Process,Samara BKK,Low,In progress,0.00,Operations desk,Reconciliation mismatch
SYN-1011,2026-09-13,Technology,Samara BKK,Medium,Resolved,4500.00,,Access provisioning exception
SYN-1012,2026-08-19, process ,Electroshield Samara,Medium,In progress,18600.00,,Duplicate processing detected
SYN-1013,2026-09-03,Process,Electroshield Samara,Low,Resolved,480.00,Control team A,Reconciliation mismatch
SYN-1014,07.08.2026,Technology,Samara BKK,Medium,Resolved,350.00,,Access provisioning exception
SYN-1015,2026-08-03,People,Electroshield Samara,Medium,In progress,3200.00,Operations desk,Capacity planning exception
SYN-1016,2026-09-18,Process,Zhigulevskoye Pivo,Medium,In progress,750.00,Control team B,Duplicate processing detected
SYN-1017,2026-08-15,Compliance,Samara BKK,Medium,Resolved,750.00,Operations desk,Control evidence missing
SYN-1018,2026-09-03,Process,Electroshield Samara,Medium,Resolved,"€ 3,200.00",Control team A,Manual handover exception
SYN-1019,2026-09-08,Compliance,Electroshield Samara,Low,In progress,750.00,Control team A,Documentation gap
SYN-1020,2026-08-11,Process,Samara BKK,Medium,Resolved,120.00,,Duplicate processing detected
SYN-1021,2026-08-16,Technology,Electroshield Samara,Medium,Resolved,3200.00,Control team B,Access provisioning exception
SYN-1022,2026-08-10,Process,Samara BKK,Medium,In progress,1200.00,Control team B,Reconciliation mismatch
SYN-1023,2026-08-03, process ,Electroshield Samara,Medium,Resolved,4500.00,Control team A,Reconciliation mismatch
SYN-1024,2026-08-18,Technology,Zhigulevskoye Pivo,Low,Resolved,0.00,,Batch processing delay
SYN-1025,2026-09-02,Process,Samara BKK,Low,Resolved,4500.00,Control team B,Reconciliation mismatch
SYN-1026,2026-09-18,Technology,Electroshield Samara,Medium,In progress,1850.00,Control team A,Batch processing delay
SYN-1027,31.08.2026,Process,Samara BKK,Low,In progress,12400.00,,Reconciliation mismatch
SYN-1028,2026-09-23,Technology,Electroshield Samara,Low,Resolved,480.00,Control team A,Batch processing delay
SYN-1029,2026-09-20,Third party,Samara BKK,Critical,Resolved,3200.00,Control team B,Vendor delivery delay
SYN-1030,2026-08-13,Process,Samara BKK,High,Resolved,480.00,Control team A,Manual handover exception
SYN-1031,2026-09-18,Technology,Electroshield Samara,Medium,In progress,2400.00,,Batch processing delay
SYN-1032,2026-09-06,Technology,Electroshield Samara,Medium,Resolved,480.00,Operations desk,Batch processing delay
SYN-1033,2026-08-13,Technology,Electroshield Samara,High,Resolved,2400.00,Control team A,Batch processing delay
SYN-1034,2026-08-10, technology ,Electroshield Samara,Low,Resolved,120.00,Control team B,Access provisioning exception
SYN-1035,2026-09-08,Third party,Electroshield Samara,Medium,Open,"€ 4,500.00",Operations desk,Vendor delivery delay
SYN-1036,2026-09-14,Technology,Zhigulevskoye Pivo,Medium,In progress,1200.00,,Service availability interruption
SYN-1037,2026-09-08,People,Electroshield Samara,Medium,Open,120.00,Control team A,Capacity planning exception
SYN-1038,2026-08-07,Technology,Samara BKK,Medium,Open,750.00,Operations desk,Service availability interruption
SYN-1039,2026-09-23,Technology,Electroshield Samara,Medium,Resolved,3200.00,Control team A,Access provisioning exception
SYN-1040,11.08.2026,Compliance,Zhigulevskoye Pivo,Low,Resolved,750.00,Control team A,Control evidence missing
SYN-1041,2026-09-17,Third party,Zhigulevskoye Pivo,Medium,In progress,350.00,Control team B,External feed unavailable
SYN-1042,2026-08-06,Third party,Electroshield Samara,Medium,Resolved,750.00,,Vendor delivery delay
SYN-1043,2026-08-19,Technology,Samara BKK,Medium,Resolved,1200.00,,Access provisioning exception
SYN-1044,2026-09-16,Third party,Samara BKK,Low,Open,3200.00,Control team A,Vendor delivery delay
SYN-1045,2026-08-26, third party ,Electroshield Samara,Low,In progress,350.00,Operations desk,Supplier service interruption
SYN-1046,2026-08-29,Third party,Electroshield Samara,Medium,In progress,120.00,Control team B,Supplier service interruption
SYN-1047,2026-09-19,Compliance,Zhigulevskoye Pivo,Low,Resolved,350.00,,Documentation gap
SYN-1048,2026-08-09,Compliance,Samara BKK,High,In progress,480.00,Control team A,Scheduled review incomplete
SYN-1049,2026-08-17,Technology,Samara BKK,High,In progress,2400.00,Control team A,Access provisioning exception
SYN-1050,2026-09-21,Technology,Zhigulevskoye Pivo,Low,In progress,1200.00,Operations desk,Access provisioning exception
SYN-1051,2026-08-19,Process,Samara BKK,Low,In progress,3200.00,Operations desk,Reconciliation mismatch
SYN-1052,2026-08-30,Technology,Electroshield Samara,High,In progress,"€ 1,850.00",Control team A,Service availability interruption
SYN-1053,03.08.2026,Compliance,Electroshield Samara,Medium,In progress,480.00,Control team B,Scheduled review incomplete
SYN-1054,2026-08-22,Process,Electroshield Samara,Low,Resolved,24500.00,Operations desk,Duplicate processing detected
SYN-1055,2026-08-15,Process,Samara BKK,Medium,Resolved,1850.00,,Duplicate processing detected
SYN-1056,2026-09-07, third party ,Electroshield Samara,Medium,Resolved,350.00,Operations desk,Vendor delivery delay
SYN-1057,2026-08-31,Technology,Samara BKK,Medium,Resolved,4500.00,Control team B,Access provisioning exception
SYN-1058,2026-09-14,Process,Electroshield Samara,Medium,Resolved,350.00,Operations desk,Reconciliation mismatch
SYN-1059,2026-08-15,Compliance,Samara BKK,Low,Resolved,480.00,Control team A,Control evidence missing
SYN-1060,2026-09-01,Technology,Samara BKK,High,Resolved,2400.00,Control team B,Access provisioning exception
SYN-1061,2026-09-16,Third party,Electroshield Samara,Low,In progress,2400.00,Control team A,Vendor delivery delay
SYN-1062,2026-08-10,Technology,Samara BKK,Medium,Resolved,3200.00,Control team B,Service availability interruption
SYN-1063,2026-08-31,Third party,Electroshield Samara,Critical,Resolved,3200.00,,External feed unavailable
SYN-1064,2026-08-19,Process,Samara BKK,Medium,Resolved,350.00,Operations desk,Duplicate processing detected
SYN-1065,2026-08-21,Process,Samara BKK,Low,In progress,480.00,Operations desk,Manual handover exception
SYN-1066,27.08.2026,Process,Samara BKK,Low,Open,3200.00,Control team B,Reconciliation mismatch
SYN-1067,2026-08-16, process ,Samara BKK,Medium,Resolved,1200.00,,Duplicate processing detected
SYN-1068,2026-08-27,People,Samara BKK,High,Resolved,0.00,Control team A,Approval handover delay
SYN-1069,2026-08-29,Technology,Electroshield Samara,Critical,Resolved,"€ 1,850.00",Control team B,Service availability interruption
SYN-1070,2026-09-14,Technology,Samara BKK,Medium,Resolved,1850.00,Control team B,Service availability interruption
SYN-1071,2026-09-09,Compliance,Electroshield Samara,High,Resolved,4500.00,Control team A,Control evidence missing
SYN-1072,2026-08-19,Third party,Samara BKK,Low,Resolved,350.00,Operations desk,Supplier service interruption
SYN-1073,2026-09-20,Process,Samara BKK,Medium,Resolved,1200.00,Operations desk,Reconciliation mismatch
SYN-1074,2026-08-17,Process,Electroshield Samara,Critical,Open,3200.00,Control team A,Reconciliation mismatch
SYN-1075,2026-08-18,People,Samara BKK,Medium,Resolved,480.00,,Capacity planning exception
SYN-1076,2026-08-26,Technology,Samara BKK,Medium,Resolved,480.00,Control team A,Batch processing delay
SYN-1077,2026-09-08,People,Samara BKK,High,Resolved,120.00,,Capacity planning exception
SYN-1078,2026-08-09, technology ,Zhigulevskoye Pivo,Medium,Resolved,4500.00,Control team A,Access provisioning exception
SYN-1079,07.08.2026,Compliance,Electroshield Samara,Medium,Resolved,1200.00,Operations desk,Control evidence missing
SYN-1080,2026-09-12,Compliance,Samara BKK,Critical,Open,2400.00,Control team B,Scheduled review incomplete
SYN-1081,2026-09-21,Technology,Samara BKK,High,Resolved,24500.00,,Service availability interruption
SYN-1082,2026-08-08,Compliance,Zhigulevskoye Pivo,High,In progress,4500.00,,Control evidence missing
SYN-1083,2026-08-04,Third party,Samara BKK,Medium,Resolved,4500.00,Operations desk,Supplier service interruption
SYN-1084,2026-09-10,Process,Zhigulevskoye Pivo,Medium,Resolved,1200.00,Control team A,Duplicate processing detected
SYN-1085,2026-09-07,People,Samara BKK,Medium,In progress,120.00,,Capacity planning exception
SYN-1086,2026-08-17,Third party,Samara BKK,Low,Resolved,"€ 2,400.00",Control team B,Vendor delivery delay
SYN-1087,2026-08-30,Third party,Electroshield Samara,Medium,Resolved,1200.00,Operations desk,Vendor delivery delay
SYN-1088,2026-09-18,Third party,Samara BKK,Low,In progress,750.00,Operations desk,Supplier service interruption
SYN-1089,2026-08-20, third party ,Electroshield Samara,High,Open,350.00,Operations desk,Supplier service interruption
SYN-1090,2026-08-03,Compliance,Electroshield Samara,Low,In progress,750.00,Control team B,Scheduled review incomplete
SYN-1091,2026-08-11,Technology,Samara BKK,Medium,Resolved,0.00,Control team A,Batch processing delay
SYN-1092,06.08.2026,Process,Zhigulevskoye Pivo,Medium,Resolved,2400.00,,Reconciliation mismatch
